,Game,Game,Rece,Rece,Rece
Player,G,GS,Rec,Yds,TD
,,,,,
Terry McLaurin,14,14,58,919,7
D.K. Metcalf,16,15,58,900,7
Peyton Barber,63,28,57,349,2
Royce Freeman,30,8,57,328,1
Derrick Henry,62,31,57,578,3
Deebo Samuel,15,11,57,802,3
Derek Carrier,82,22,56,502,3
Nick Chubb,32,25,56,427,2
Wendell Smallwood,52,12,56,452,2
Russell Gage,31,4,55,509,1
Jordan Akins,32,15,53,643,2
Jakeem Grant,52,4,53,635,4
Nick O'Leary,59,24,53,668,4
Taywan Taylor,32,10,53,697,2
A.J. Brown,16,11,52,1051,8
Patrick DiMarco,115,52,52,404,4
Marlon Mack,40,22,52,410,2
Ian Thomas,32,9,52,469,3
Antonio Callaway,20,13,51,675,5
Pharoh Cooper,46,5,50,433,1
Keke Coutee,15,6,50,541,1
Miles Sanders,16,11,50,509,3
Ryan Switzer,41,1,50,321,1
Jacob Hollister,34,5,49,443,3
Isaiah McKenzie,34,9,49,462,1
Hunter Renfrow,13,4,49,605,4
John Ross,24,19,49,716,10
Darius Slayton,14,9,48,740,8
Geoff Swaim,43,20,48,401,1
Chris Moore,58,5,47,511,4
Marquise Brown,14,11,46,584,7
Tre'Quan Smith,26,13,46,661,10
Ricardo Louis,32,12,45,562,0
Damiere Byrd,28,6,44,488,3
Auden Tate,19,10,44,610,1
Hayden Hurst,28,4,43,512,3
David Moore,31,8,43,746,7
Daniel Brown,58,11,42,389,2
Kerryon Johnson,18,14,42,340,2
Jeremy Langford,29,5,41,421,1
Jamize Olawale,109,20,41,438,3
Noah Fant,16,11,40,562,3
Maurice Harris,28,7,40,432,1
Chris Herndon,17,12,40,509,4
Matt LaCosse,33,14,40,403,2
Tim Patrick,24,6,39,533,1
Blake Bell,65,19,38,424,0
Ronald Jones,25,9,38,342,0
Dante Pettis,23,11,38,576,7
Ito Smith,21,0,38,239,0
Stephen Anderson,29,5,36,435,2
Kenneth Dixon,18,0,36,213,1
Allen Lazard,17,3,36,484,3
Elijah McGuire,24,5,36,370,2
C.J. Prosise,25,2,36,393,0
Irv Smith,16,7,36,311,2
C.J. Ham,47,10,35,302,1
Dare Ogunbowale,20,0,35,286,0
Trey Quinn,15,8,35,273,2
Logan Thomas,42,8,35,317,2
Steven Sims,16,2,34,310,4
DeAndre Carter,30,7,33,378,0
Cody Core,51,7,33,388,1
Anthony Firkser,27,1,33,429,2
Jeremy Sprinkle,43,27,33,295,3
Corey Clement,31,0,32,315,2
Chase Edmonds,29,2,32,208,1
T.J. Hockenson,12,7,32,367,2
Preston Williams,8,7,32,428,3
James Develin,83,31,31,222,0
Will Dissly,10,10,31,418,6
Olabisi Johnson,16,6,31,294,3
Kaden Smith,9,6,31,268,3
Robert Foster,26,5,30,605,3
Kelvin Harmon,16,8,30,365,0
Rod Smith,55,2,30,272,1
Nick Williams,26,0,30,280,2
Devin Singletary,12,8,29,194,2
Zach Zenner,41,6,29,282,0
Kenjon Barner,68,1,28,152,0
Marcus Johnson,23,6,28,424,3
Dawson Knox,15,11,28,388,2
Greg Ward,7,3,28,254,1
Darius Jennings,28,1,27,235,0
MyCole Pruitt,52,14,27,294,2
Mecole Hardman,16,5,26,538,6
Mack Hollins,32,3,26,351,1
Jakobi Meyers,15,1,26,359,0
Adam Shaheen,27,13,26,249,4
Ben Koyack,48,18,25,208,1
David Montgomery,16,8,25,185,1
Samaje Perine,28,8,25,187,1
Damion Ratley,26,6,25,344,1
Jerell Adams,30,3,24,214,1
Justin Jackson,20,1,24,157,0
Ty Johnson,16,1,24,109,0
Paul Perkins,29,5,24,217,0
Boston Scott,13,2,24,204,0
Kalen Ballage,24,6,23,119,0
Josh Ferguson,28,0,23,152,0
Isaiah Ford,9,0,23,244,0
Xavier Grimble,47,7,23,239,3
Patrick Laird,15,4,23,204,0
Trent Sherfield,29,3,23,290,1
Jordan Wilkins,30,4,23,128,0
Jason Croom,15,3,22,259,1
Taysom Hill,37,9,22,238,6
Andy Janovich,50,19,22,233,1
Charone Peake,31,1,22,214,0
Vyncint Smith,20,5,22,316,1
Javon Wims,20,6,22,218,1
Dontrell Hilliard,25,0,21,197,0
KeeSean Johnson,10,4,21,187,1
Foster Moreau,13,7,21,174,5
Equanimeous St. Brown,12,7,21,328,0
Jordan Thomas,21,12,21,223,4
Dan Arnold,15,2,20,277,3
Marcell Ateman,18,6,20,270,1
Malcolm Brown,54,2,20,165,1
Josh Jacobs,13,13,20,166,0
Jake Kumerow,19,6,20,322,2
Tommylee Lewis,34,4,20,252,2
Zach Line,75,22,20,161,4
Raheem Mostert,50,0,20,205,2
Mark Walton,21,4,20,130,0
Chad Williams,17,8,20,202,1
Marvin Hall,33,0,19,470,3
Sony Michel,29,22,19,144,0
Troy Niklas,41,18,19,203,3
Parris Campbell,7,3,18,127,1
D.J. Foster,16,0,18,135,0
Brittan Golden,46,1,18,293,1
Darrel Williams,18,0,18,194,2
Trenton Cannon,20,0,17,144,0
Ross Dwelley,27,6,17,105,2
Rashaad Penny,24,0,17,158,1
