,,Game,Game,Def,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb,,Tack,Tack,Tack,Tack,
Player,Pos,G,GS,Int,IntYds,IntTD,IntLong,PD,FF,Fmb,FR,FmbYds,FumbTD,Sacks,Comb,Solo,Ast,TFL,Sfty
,,,,,,,,,,,,,,,,,,,
Nathan Gerry,LB,16,12,2,51,1,51,5,0,0,1,0,0,2.5,78,52,26,4,0
Vernon Hargreaves,NA,15,11,1,15,1,15,6,0,0,1,2,0,0,61,52,9,1,0
Mike Hilton,CB,16,8,1,1,0,1,11,1,0,1,0,0,1.5,65,52,13,6,0
Danielle Hunter,DE,16,16,0,0,0,0,0,3,0,1,4,0,14.5,70,52,18,15,0
David Mayo,LB,16,13,0,0,0,0,2,0,0,1,0,0,2,82,52,30,5,0
Bradley McDougald,SS,15,14,2,0,0,0,6,1,0,1,0,0,0.5,70,52,18,1,0
Steven Nelson,CB,15,15,1,33,0,33,8,0,0,1,0,0,0,61,52,9,0,0
Damien Wilson,LB,16,16,0,0,0,0,1,1,0,0,0,0,1.5,81,52,29,3,0
Xavier Woods,db,15,15,2,38,0,29,5,2,0,1,9,0,0,77,52,25,1,0
James Bradberry,CB,15,15,3,0,0,0,12,0,0,0,0,0,1,65,51,14,1,0
James Burgess,LB,10,10,1,2,0,2,5,1,1,1,-4,0,0.5,80,51,29,8,1
Cameron Heyward,DT,16,16,0,0,0,0,6,1,0,1,0,0,9,83,51,32,11,0
Anthony Hitchens,LB,15,15,0,0,0,0,1,1,0,0,0,0,2,88,51,37,4,0
Eddie Jackson,DB,16,16,2,18,0,14,5,1,0,1,3,0,1,60,51,9,5,0
Alexander Johnson,LB,15,12,1,0,0,0,3,2,0,1,0,0,1.5,93,51,42,5,0
Jabrill Peppers,S,11,11,1,32,1,32,5,3,0,0,0,0,0,76,51,25,5,0
Kenny Vaccaro,S,16,16,1,2,0,2,5,0,0,0,0,0,1,84,51,33,3,0
Jimmie Ward,DB,13,13,0,0,0,0,8,0,0,0,0,0,1,65,51,14,2,0
Daryl Worley,CB,15,15,1,0,0,0,8,0,0,1,6,0,0,58,51,7,1,0
Jaire Alexander,CB,16,16,2,37,0,37,17,1,0,1,0,0,0,58,50,8,2,0
A.J. Bouye,CB,14,14,1,25,0,25,8,0,0,0,0,0,0,65,50,15,1,0
Micah Hyde,S,16,16,1,0,0,0,2,2,0,1,31,0,0,72,50,22,1,0
Janoris Jenkins,NA,15,14,5,84,0,62,16,0,0,0,0,0,0,61,50,11,0,0
Marcus Maye,S,16,16,1,0,0,0,7,0,0,0,0,0,0,65,50,15,1,0
Kenny Moore,CB,11,11,2,36,0,35,3,0,0,1,1,0,2.5,61,50,11,4,0
Isaiah Oliver,CB,16,16,0,0,0,0,11,1,0,0,0,0,0,62,50,12,0,0
Denzel Perryman,LB,14,10,1,0,0,0,1,1,0,0,0,0,0,68,50,18,5,0
Germaine Pratt,LB,16,9,0,0,0,0,0,0,0,0,0,0,0,76,50,26,4,0
