,Game,Game,Tack,Tack,Tack,Tack,Tack,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb
Player,G,GS,Sacks,Solo,Ast,Comb,TFL,Int,IntYds,IntTd,PD,Fmb,FR,FumbYds,FumbTD,FF
,,,,,,,,,,,,,,,,
Emeke Egbule,15,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
Emmanuel Ellerbee,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaden Elliss,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Marcus Epps,15,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0
Justin Evans,24,19,0,93,32,125,3,4,28,0,8,0,1,68,1,0
Deshazor Everett,64,11,0,91,38,129,2,2,24,0,7,0,0,0,0,1
Matthias Farley,50,16,0,84,50,134,4,3,16,0,11,0,1,0,0,2
Clayton Fejedelem,64,6,0,77,40,117,1,1,5,0,2,1,2,72,1,1
Kylie Fitts,9,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0
Minkah Fitzpatrick,32,27,0,95,54,149,3,7,194,2,18,0,3,79,1,2
Rudy Ford,33,1,0,15,5,20,0,0,0,0,0,0,0,0,0,0
Reuben Foster,16,16,0,84,17,101,10,0,0,0,2,0,0,0,0,0
John Franklin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaire Franklin,32,2,0,18,17,35,0,0,0,0,1,0,0,0,0,0
Kyle Fuller,80,78,0,276,49,325,6,18,194,0,74,0,0,0,0,3
E.J. Gaines,43,38,0,169,29,198,4,4,1,0,33,0,2,0,0,4
Phillip Gaines,58,24,0,133,19,152,9,1,0,0,18,0,0,0,0,2
Dennis Gardeck,30,0,0,14,4,18,0,0,0,0,0,0,1,0,0,0
Chauncey Gardner-Johnson,16,7,0,38,11,49,6,1,28,0,8,0,1,37,0,1
Clayton Geathers,56,34,0,183,61,244,4,1,0,0,10,0,1,29,0,2
Ben Gedeon,39,22,0,60,43,103,0,0,0,0,2,0,0,0,0,0
Jake Gervase,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Gifford,6,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0
Ulysees Gilbert,7,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0
Joe Giles-Harris,5,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0
Tashaun Gipson,112,104,0,327,123,450,13,23,550,3,47,1,1,0,0,1
Kevin Givens,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ryan Glasgow,24,3,0,19,22,41,4,0,0,0,0,0,1,0,0,0
Ahmad Gooden,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Jermaine Grace,24,0,0,5,4,9,1,0,0,0,0,0,0,0,0,0
J.T. Gray,21,0,0,14,5,19,0,0,0,0,0,0,1,0,0,0
T.J. Green,33,11,0,65,25,90,5,0,0,0,3,0,0,0,0,0
Saquan Hampton,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Vernon Hargreaves,41,35,0,163,23,186,5,2,15,1,21,0,1,2,0,2
Duron Harmon,111,29,0,137,38,175,2,17,193,0,28,0,3,3,0,1
Anthony Harris,65,31,0,127,53,180,1,9,75,1,21,0,4,0,0,1
Davontae Harris,19,6,0,31,5,36,0,0,0,0,3,0,0,0,0,0
Demone Harris,7,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0
Erik Harris,51,18,0,105,24,129,3,5,167,2,15,0,0,0,0,0
Jonathan Harris,5,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0
Marcell Harris,21,9,0,47,27,74,4,0,0,0,5,0,1,3,0,3
Montre Hartage,4,0,0,6,2,8,0,0,0,0,1,0,0,0,0,0
Willie Harvey,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
J.T. Hassell,4,0,0,5,2,7,0,0,0,0,0,0,0,0,0,0
Tae Hayes,3,0,0,4,3,7,0,0,0,0,2,0,1,0,0,0
Casey Hayward,115,82,0,287,57,344,10,22,340,2,92,0,4,60,1,2
Jeff Heath,106,54,0,267,79,346,12,8,107,0,24,0,1,50,1,5
Trayvon Henderson,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Tre Herndon,27,14,0,52,16,68,1,3,0,0,13,0,0,0,0,0
Alijah Holder,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amani Hooker,16,0,0,15,5,20,0,0,0,0,0,0,0,0,0,0
Malik Hooker,34,33,0,76,41,117,1,7,146,0,11,0,2,3,0,0
Albert Huggins,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Mike Hull,43,5,0,53,25,78,1,1,8,0,1,0,1,0,0,0
Marlon Humphrey,46,28,0,114,22,136,8,7,47,0,40,0,3,91,2,3
Carlos Hyde,80,57,0,0,0,0,0,0,0,0,0,15,5,-6,0,0
Joey Ivie,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Joel Iyiegbuniwe,31,0,0,12,1,13,1,0,0,0,0,0,0,0,0,0
Adoree' Jackson,43,39,0,167,21,188,6,2,7,0,33,5,2,0,0,3
J.C. Jackson,29,11,0,51,9,60,1,8,48,0,16,0,0,0,0,0
Josh Jackson,30,10,0,50,10,60,1,0,0,0,10,1,1,0,0,0
Dontae Johnson,73,22,0,138,23,161,4,2,70,2,21,0,2,0,0,0
Isaiah Johnson,12,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0
John Johnson,38,32,0,162,83,245,6,7,115,0,24,0,0,0,0,1
Lonnie Johnson,14,7,0,34,7,41,0,0,0,0,7,0,0,0,0,0
Tre'von Johnson,4,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0
Trumaine Johnson,102,77,0,339,53,392,11,23,325,4,74,1,4,25,0,3
Byron Jones,79,73,0,270,79,349,11,2,28,1,43,0,0,0,0,3
Johnathan Joseph,200,186,0,642,113,755,16,31,638,7,194,0,6,145,1,7
Peter Kalambayi,31,0,0,17,14,31,0,0,0,0,0,0,0,0,0,0
Damontae Kazee,48,30,0,120,59,179,3,10,107,0,13,0,0,0,0,4
Kameron Kelly,14,1,0,17,4,21,0,1,10,0,1,0,0,0,0,0
Darius Kilgo,29,0,0,11,5,16,0,0,0,0,1,0,0,0,0,0
Akeem King,34,4,0,28,11,39,0,0,0,0,3,0,0,0,0,0
Brandon King,57,0,0,30,12,42,0,0,0,0,0,0,0,0,0,1
Jordan Kunaszyk,9,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0
Deon Lacey,48,0,0,16,5,21,0,0,0,0,0,0,0,0,0,0
Chris Lammons,12,0,0,8,5,13,0,1,0,0,3,0,0,0,0,0
Austin Larkin,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Marshon Lattimore,43,43,0,138,30,168,3,8,85,1,44,0,4,91,0,5
Justin Lawler,16,0,0,4,2,6,1,0,0,0,0,0,0,0,0,0
Dallin Leavitt,17,0,0,6,5,11,0,0,0,0,0,0,0,0,0,0
Marquel Lee,34,19,0,65,39,104,6,0,0,0,3,0,0,0,0,0
Ryan Lewis,20,6,0,32,11,43,1,1,3,0,8,0,0,0,0,2
Kapron Lewis-Moore,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
Mitchell Loewen,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
David Long,14,0,0,9,6,15,2,0,0,0,1,0,0,0,0,1
Travis Long,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
Steve Longa,26,0,0,19,9,28,0,0,0,0,0,0,0,0,0,0
James Looney,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Love,15,5,0,30,7,37,5,1,30,0,3,0,0,0,0,1
Mike Love,3,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
Justin March-Lillard,47,5,0,28,13,41,1,0,0,0,3,0,0,0,0,0
Dean Marlowe,16,3,0,14,2,16,0,0,0,0,2,0,0,0,0,0
Trey Marshall,18,2,0,19,6,25,0,0,0,0,0,0,2,12,0,1
Hercules Mata'afa,6,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
Arthur Maulet,24,7,0,33,15,48,5,1,13,0,2,0,1,0,1,0
Rob McCray,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Raekwon McMillan,29,28,0,104,73,177,8,0,0,0,2,0,1,0,0,2
Nate Meadors,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Rashaan Melvin,64,40,0,211,33,244,4,4,43,0,41,0,1,0,0,3
Doug Middleton,14,4,0,28,7,35,0,0,0,0,4,0,0,0,0,0
Rolan Milligan,11,1,0,11,4,15,0,0,0,0,0,0,0,0,0,0
Jalen Mills,48,34,0,168,41,209,2,4,53,1,37,0,0,0,0,0
Bryan Mone,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
A.J. Moore,32,0,0,16,9,25,1,0,0,0,0,0,1,0,0,0
C.J. Moore,16,0,0,5,2,7,0,0,0,0,0,0,0,0,0,0
Tarvarius Moore,32,5,0,36,12,48,0,0,0,0,5,0,0,0,0,1
Fabian Moreau,44,17,0,77,39,116,1,4,32,0,11,0,0,0,0,3
Jimmy Moreland,14,5,0,32,10,42,1,0,0,0,4,0,0,0,0,0
Emmanuel Moseley,17,9,0,43,8,51,2,1,3,0,8,0,0,0,0,0
Avery Moss,22,10,0,22,18,40,0,0,0,0,2,0,0,0,0,2
Trayvon Mullen,16,10,0,42,8,50,0,1,0,0,10,0,0,0,0,0
Byron Murphy,16,16,0,66,12,78,3,1,0,0,10,0,0,0,0,0
Keanu Neal,34,34,0,167,71,238,6,1,19,0,14,0,3,0,0,8
Ryan Neal,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Sharrod Neasman,41,0,0,37,16,53,2,0,0,0,4,1,1,-6,0,0
Steven Nelson,67,53,0,210,33,243,8,5,86,0,43,0,3,0,0,1
Montae Nicholson,35,26,0,92,34,126,0,3,23,0,7,0,2,0,0,0
Hardy Nickerson,37,9,0,55,26,81,1,0,0,0,2,0,0,0,0,1
Dadi Nicolas,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pat O'Connor,11,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0
George Odum,32,3,0,52,22,74,1,1,14,0,2,0,1,0,0,2
Isaiah Oliver,30,18,0,70,15,85,0,1,0,0,18,0,0,0,0,1
Foyesade Oluokun,32,10,0,92,61,153,4,0,0,0,1,0,0,0,0,2
Kareem Orr,2,0,0,8,1,9,0,0,0,0,0,0,0,0,0,0
Jonathan Owens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Parker,14,4,0,15,5,20,0,2,35,0,3,0,0,0,0,0
Natrez Patrick,12,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Chris Peace,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Peko,13,0,0,7,6,13,0,0,0,0,0,0,0,0,0,0
Marcus Peters,77,76,0,203,44,247,5,27,797,6,77,0,6,76,1,5
Adrian Phillips,64,24,0,175,76,251,9,5,74,0,18,0,0,0,0,2
Justin Phillips,4,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0
Anthony Pittman,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Jamiyus Pittman,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Quentin Poling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germaine Pratt,16,9,0,50,26,76,4,0,0,0,0,0,0,0,0,0
Brian Price,22,1,0,11,9,20,1,0,0,0,1,0,0,0,0,0
Jalen Ramsey,60,59,0,213,30,243,6,10,112,1,49,0,0,0,0,3
Taylor Rapp,15,10,0,62,38,100,3,2,54,1,8,0,1,0,0,0
Sheldrick Redwine,12,5,0,28,14,42,0,0,0,0,2,0,0,0,0,0
Troy Reeder,16,8,0,36,22,58,0,0,0,0,0,0,0,0,0,2
Justin Reid,31,27,0,127,39,166,3,5,183,1,15,0,3,1,0,1
LaRoy Reynolds,99,7,0,78,27,105,3,0,0,0,2,0,2,0,0,0
Luke Rhodes,52,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0
Xavier Rhodes,104,97,0,318,54,372,15,10,159,1,73,0,0,0,0,3
Jordan Richards,68,19,0,74,22,96,0,0,0,0,6,0,2,0,1,2
Curtis Riley,43,19,0,98,23,121,2,5,69,1,8,0,0,0,0,1
Duke Riley,44,16,0,64,40,104,2,0,0,0,2,0,1,0,0,0
Darryl Roberts,56,26,0,155,17,172,4,3,16,0,27,1,0,0,0,0
Pete Robertson,6,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0
Josh Robinson,93,21,0,162,20,182,3,5,90,0,15,0,0,0,0,2
Eric Rowe,53,32,0,121,42,163,2,3,35,1,24,0,0,0,0,1
Anthony Rush,9,0,0,6,3,9,3,0,0,0,2,0,0,0,0,0
Darnell Savage,14,14,0,42,13,55,1,2,37,0,5,0,0,0,0,2
Nick Scott,16,0,0,6,2,8,0,0,0,0,0,0,0,0,0,0
Niles Scott,6,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
Deadrin Senat,17,2,0,15,15,30,2,0,0,0,0,0,0,0,0,0
Josh Shaw,55,14,0,95,32,127,2,1,0,0,7,0,1,0,0,0
Kendall Sheffield,16,11,0,33,13,46,0,0,0,0,3,0,0,0,0,1
Brady Sheldon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeShaun Sims,56,11,0,89,26,115,3,2,0,0,8,0,3,0,0,1
Alex Singleton,10,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0
Deyon Sizer,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Tanzel Smart,31,4,0,11,10,21,0,0,0,0,1,0,0,0,0,0
Cameron Smith,5,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0
Keith Smith,79,12,0,27,10,37,0,0,0,0,0,0,0,0,0,5
Ryan Smith,57,16,0,94,19,113,1,1,0,0,12,0,2,6,0,4
Fish Smithson,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
E.J. Speed,12,0,0,4,3,7,1,0,0,0,0,0,0,0,0,0
Robert Spillane,10,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0
M.J. Stewart,21,6,0,59,9,68,2,0,0,0,5,0,0,0,0,0
Kentavius Street,3,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0
Kevin Strong,8,0,0,3,2,5,0,0,0,0,1,0,0,0,0,0
Ty Summers,16,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0
Sione Takitaki,15,1,0,14,7,21,0,0,0,0,0,0,0,0,0,0
Cordrea Tankersley,17,11,0,26,10,36,1,0,0,0,7,0,0,0,0,0
Josiah Tauaefa,12,0,0,5,1,6,2,0,0,0,0,0,0,0,0,1
Jullian Taylor,12,0,0,11,5,16,4,0,0,0,1,0,1,10,0,0
Marvell Tell,13,1,0,23,3,26,0,0,0,0,5,0,0,0,0,1
Tavierre Thomas,29,0,0,11,6,17,0,0,0,0,0,0,1,0,0,0
Corey Thompson,18,1,0,12,9,21,2,0,0,0,0,0,0,0,0,1
Deionte Thompson,11,2,0,14,4,18,0,0,0,0,0,0,0,0,0,0
Jalen Thompson,15,9,0,45,12,57,0,1,18,0,3,0,1,24,0,0
Tedric Thompson,29,16,0,52,28,80,0,3,18,0,5,0,2,0,0,1
Juan Thornhill,16,16,0,42,16,58,0,3,46,1,5,0,0,0,0,0
Neiko Thorpe,85,2,0,83,16,99,1,1,-12,0,9,0,3,0,0,0
Kevin Toliver,27,2,0,25,4,29,0,0,0,0,4,0,0,0,0,0
Drue Tranquill,15,3,0,61,14,75,4,0,0,0,1,0,0,0,0,0
Brynden Trawick,91,1,0,64,17,81,1,1,0,0,2,0,0,0,0,0
Jacob Tuioti-Mariner,8,1,0,8,6,14,1,0,0,0,0,0,0,0,0,1
Josh Tupou,23,7,0,20,16,36,3,0,0,0,0,0,0,0,0,1
Zeke Turner,28,1,0,18,5,23,0,0,0,0,0,0,0,0,0,0
Eddie Vanderdoes,19,13,0,18,8,26,2,0,0,0,0,0,0,0,0,0
James Vaughters,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
Jason Verrett,26,23,0,72,8,80,2,5,68,1,19,0,1,0,0,0
Joe Walker,42,14,0,52,30,82,5,0,0,0,1,0,0,0,0,1
Tracy Walker,29,12,0,100,24,124,6,2,0,0,10,0,0,0,0,1
Levi Wallace,23,23,0,90,23,113,5,2,2,0,12,0,0,0,0,0
Charvarius Ward,29,18,0,82,22,104,0,2,10,0,13,0,0,0,0,1
Denzel Ward,25,24,0,79,18,97,6,5,87,1,22,0,3,35,0,1
Charles Washington,41,0,0,22,5,27,1,0,0,0,0,0,0,0,0,0
Brandon Watson,8,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0
Josh Watson,8,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Kayvon Webster,69,16,0,118,11,129,3,2,10,0,23,0,0,0,0,1
Ken Webster,8,5,0,17,2,19,0,0,0,0,1,0,0,0,0,0
Kyzir White,19,10,0,37,20,57,2,2,9,0,4,0,0,0,0,0
Jordan Whitehead,29,25,0,111,34,145,8,1,11,0,13,0,1,0,0,0
J.J. Wilcox,77,39,0,173,60,233,3,6,78,0,16,1,3,11,0,2
Mazzi Wilkins,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
Greedy Williams,12,12,0,37,10,47,2,0,0,0,2,0,0,0,0,0
Jordan Williams,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
Quincy Williams,11,8,0,30,18,48,2,0,0,0,0,0,0,0,0,0
Trevor Williams,39,27,0,93,17,110,4,3,114,0,22,0,1,0,0,0
Tyrell Williams,66,49,0,0,0,0,0,0,0,0,0,3,2,0,0,0
Gerald Willis,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Khari Willis,14,9,0,53,18,71,2,0,0,0,1,0,0,0,0,0
Donovan Wilson,11,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
Jarrod Wilson,63,18,0,92,27,119,8,2,4,0,6,0,1,0,0,2
Quincy Wilson,29,10,0,48,13,61,2,2,33,0,8,0,1,38,0,0
Ramik Wilson,47,21,0,114,33,147,15,1,6,0,5,0,5,11,2,2
Jomal Wiltz,14,6,0,39,19,58,2,1,0,0,6,0,0,0,0,0
Ahkello Witherspoon,36,29,0,82,15,97,1,3,67,1,20,0,1,0,0,1
Zach Wood,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Josh Woods,9,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0
Xavier Woods,45,33,0,124,51,175,2,5,60,0,17,0,2,15,0,3
Xavier Woodson-Luster,18,0,0,6,6,12,0,0,0,0,0,0,0,0,0,0
Blidi Wreh-Wilson,60,17,0,103,20,123,1,1,34,0,24,0,0,0,0,1
Jonathan Wynn,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rock Ya-Sin,15,13,0,54,8,62,2,1,0,0,5,0,1,0,0,0
Isaac Yiadom,29,9,0,49,14,63,1,1,4,0,7,0,0,0,0,0
Trevon Young,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Justin Zimmer,3,0,0,2,3,5,1,0,0,0,0,0,0,0,0,0
