,Game,Game,Tack,Tack,Tack,Tack,Tack,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb
Player,G,GS,Sacks,Solo,Ast,Comb,TFL,Int,IntYds,IntTd,PD,Fmb,FR,FumbYds,FumbTD,FF
,,,,,,,,,,,,,,,,
Jordan Hicks,59,56,6.5,274,130,404,23,10,172,1,25,0,7,35,0,3
B.J. Hill,32,17,6.5,47,37,84,8,0,0,0,2,0,0,0,0,0
Mike Hilton,47,14,6.5,144,42,186,22,4,46,0,25,0,3,2,0,2
Desmond King,47,20,6.5,153,36,189,14,4,165,2,17,5,4,13,0,2
Jacob Martin,30,0,6.5,14,7,21,5,0,0,0,0,0,2,0,0,3
D.J. Reader,61,52,6.5,81,73,154,16,0,0,0,1,0,0,0,0,0
Hassan Ridgeway,41,11,6.5,23,26,49,10,0,0,0,1,0,0,0,0,0
Brandon Williams,97,88,6.5,149,106,255,27,0,0,0,6,0,4,1,1,2
Mike Adams,228,149,6,708,227,935,19,30,337,2,90,1,16,5,0,13
Sheldon Day,56,2,6,38,15,53,14,0,0,0,4,0,0,0,0,0
Tanoh Kpassagnon,45,9,6,32,15,47,10,0,0,0,2,0,1,0,0,1
Nick Kwiatkoski,57,22,6,139,45,184,13,1,4,0,8,0,0,0,0,4
Kevin Minter,91,46,6,219,80,299,25,0,0,0,6,0,1,0,0,1
Nate Orchard,43,13,6,51,32,83,11,1,46,0,6,0,2,0,0,2
Jordan Poyer,95,57,6,299,127,426,19,13,68,1,28,1,6,36,0,5
Eric Reid,99,98,6,404,115,519,14,11,244,0,45,0,5,0,0,3
Malcolm Smith,104,52,6,295,100,395,29,4,96,1,17,0,3,8,1,10
Dawuane Smoot,40,0,6,29,12,41,9,0,0,0,0,0,1,0,0,0
Solomon Thomas,46,28,6,73,20,93,16,0,0,0,0,0,1,0,0,0
DeMarcus Walker,23,1,6,22,11,33,7,0,0,0,1,0,1,0,0,0
Dekoda Watson,108,7,6,122,31,153,10,1,0,0,4,0,4,7,1,4
Stephen Weatherly,49,7,6,45,22,67,13,0,0,0,1,0,0,0,0,2
Nick Williams,44,5,6,36,24,60,8,0,0,0,2,0,2,4,0,0
De'Vondre Campbell,59,54,5.5,234,129,363,18,3,2,0,16,0,1,0,0,5
Tank Carradine,46,8,5.5,56,24,80,0,0,0,0,0,0,0,0,0,1
Ha Ha Clinton-Dix,96,90,5.5,417,105,522,8,16,212,1,33,0,4,1,0,4
Neville Hewitt,66,23,5.5,138,80,218,14,3,13,0,9,1,1,0,0,0
Anthony Hitchens,90,78,5.5,325,202,527,32,1,8,0,9,0,0,0,0,4
Myles Jack,59,53,5.5,201,86,287,10,2,46,1,10,0,3,81,1,1
Brennan Scarlett,45,18,5.5,70,41,111,10,1,8,0,5,0,1,0,0,3
Damion Square,75,23,5.5,61,39,100,10,0,0,0,9,0,2,0,0,0
Vita Vea,29,24,5.5,40,23,63,8,0,0,0,3,0,0,0,0,0
Sylvester Williams,94,63,5.5,89,44,133,21,0,0,0,3,0,1,0,0,0
