,,Game,Game,Punt,Punt,Punt,Punt,Kick,Kick,Kick,Kick
Player,Pos,G,GS,PuntRet,PuntRetYds,PuntTds,PuntLng,RtAttempts,RtYds,RtTds,RtLng
,,,,,,,,,,,
Nathan Gerry,LB,16,12,0,0,0,0,1,21,0,21
Ted Ginn,WR,16,9,0,0,0,0,1,0,0,0
Dallas Goedert,TE,15,9,0,0,0,0,1,16,0,16
Rashard Higgins,wr,10,1,0,0,0,0,1,8,0,8
Taysom Hill,qb,16,5,0,0,0,0,1,12,0,12
Tyreek Hill,WR,12,12,1,0,0,0,0,0,0,0
David Johnson,RB,13,9,0,0,0,0,1,24,0,24
Marcus Johnson,wr,8,6,0,0,0,0,1,14,0,14
Olabisi Johnson,wr,16,6,1,8,0,8,0,0,0,0
Chris Lacy,wr,7,2,0,0,0,0,1,23,0,23
J.D. McKissic,rb,16,3,0,0,0,0,1,17,0,17
Anthony Miller,wr,16,7,0,0,0,0,1,28,0,28
Bobby Okereke,LB,16,8,1,0,0,0,0,0,0,0
Tim Patrick,wr,8,2,0,0,0,0,1,-14,0,-14
Senorise Perry,NA,11,0,0,0,0,0,1,2,0,2
Damion Ratley,wr,13,3,0,0,0,0,1,12,0,12
Dalton Schultz,NA,16,0,0,0,0,0,1,5,0,5
Adam Shaheen,te,8,2,0,0,0,0,1,0,0,0
Trent Sherfield,wr,16,1,0,0,0,0,1,15,0,15
LeShaun Sims,cb,14,2,1,11,0,11,0,0,0,0
Wendell Smallwood,NA,15,0,0,0,0,0,1,14,0,14
Jonnu Smith,TE,16,14,0,0,0,0,1,16,0,16
Willie Snead,WR,16,11,0,0,0,0,1,19,0,19
Benny Snell,rb,13,2,0,0,0,0,1,8,0,8
Cameron Sutton,NA,16,0,1,8,0,8,0,0,0,0
Mike Thomas,NA,16,0,1,3,0,3,0,0,0,0
Darwin Thompson,NA,12,0,0,0,0,0,1,27,0,27
Jason Vander Laan,te,2,1,0,0,0,0,1,8,0,8
Dwayne Washington,NA,16,0,0,0,0,0,1,12,0,12
Jordan Wilkins,rb,14,1,0,0,0,0,1,15,0,15
Jamaal Williams,rb,14,2,0,0,0,0,1,9,0,9
Oshane Ximines,lb,16,2,0,0,0,0,1,5,0,5
