,Game,Game,Rush,Rush,Rush
Player,G,GS,Att,Yds,TD
,,,,,
Chester Rogers,53,22,5,22,0
Wes Hills,1,1,10,21,2
D'Ernest Johnson,16,0,4,21,0
Allen Lazard,17,3,1,21,0
DJ Chark,26,14,2,20,0
Justin Davis,15,0,3,20,0
Bennie Fowler,63,12,1,20,0
Breshad Perriman,51,10,7,20,0
Nate Sudfeld,3,0,3,20,0
Michael Crabtree,143,139,3,18,0
Jordan Reed,65,36,1,18,0
Kenny Golladay,42,34,2,17,0
Mecole Hardman,16,5,4,17,0
Alec Ingold,16,4,10,17,0
Dare Ogunbowale,20,0,11,17,2
Tim Patrick,24,6,3,17,0
Tajae Sharpe,47,29,2,17,0
Scott Miller,10,2,2,16,0
Taquan Mizzell,12,1,9,16,0
Donte Moncrief,77,43,5,16,0
Courtland Sutton,32,23,4,16,0
Charles Clay,127,110,7,15,1
Corey Coleman,27,19,3,15,0
Vernon Davis,198,179,6,15,0
Andy Isabella,15,1,4,15,0
Jermaine Kearse,99,74,2,15,0
Jojo Natson,32,0,1,15,0
Willie Snead,73,41,3,15,0
Tyrell Williams,66,49,2,15,0
Keke Coutee,15,6,5,14,1
Patrick DiMarco,115,52,7,14,0
Paul Richardson,64,29,4,14,0
Maxx Williams,58,31,5,14,0
Matthew Dayes,23,0,5,13,0
Cooper Rush,5,0,2,13,0
Keith Smith,79,12,8,13,0
JuJu Smith-Schuster,42,32,1,13,0
Trey Burton,85,26,6,12,0
Damiere Byrd,28,6,1,12,0
Quincy Enunwa,41,30,2,12,0
Russell Gage,31,4,4,12,0
Damien Harris,2,0,4,12,0
T.J. Logan,22,0,5,12,0
Michael Burton,65,13,8,11,0
Isaiah Ford,9,0,1,11,0
DeAndre Hopkins,110,110,3,11,0
D.K. Metcalf,16,15,2,11,0
Allen Robinson,72,68,2,11,0
Richard Rodgers,71,24,1,11,0
Matthew Slater,173,3,2,11,0
Dexter Williams,4,0,5,11,0
Maurice Harris,28,7,2,10,0
Buddy Howell,31,0,5,10,0
De'Lance Turner,12,0,5,10,0
Ben Watson,205,143,2,10,0
Ed Dickson,134,86,1,9,0
Dawson Knox,15,11,1,9,0
Jordan Scarlett,9,0,4,9,0
Pharoh Cooper,46,5,2,8,0
David Fales,5,0,5,8,1
Chris Godwin,46,21,1,8,0
Jeremy McNichols,5,0,4,8,0
Ryan Nall,8,0,2,8,0
Tom Savage,13,9,16,8,0
Kenny Stills,107,77,4,8,0
Bobo Wilson,14,2,3,8,0
Geronimo Allison,46,14,1,7,0
Cole Beasley,118,32,1,7,0
Tony Brooks-James,3,0,8,7,0
Antonio Callaway,20,13,2,7,0
DeAndre Carter,30,7,1,7,0
Will Dissly,10,10,1,7,0
Marvin Hall,33,0,3,7,0
Dwayne Allen,86,72,4,6,0
Doug Baldwin,123,90,9,6,0
Keelan Cole,48,18,1,6,0
Will Fuller,42,41,3,6,0
Olabisi Johnson,16,6,1,6,0
Travis Kelce,96,89,4,6,1
Cameron Meredith,31,11,1,6,0
Diontae Spencer,16,2,3,6,0
Demaryius Thomas,143,128,3,6,0
Jacob Hollister,34,5,1,5,0
Seth Roberts,78,25,3,5,0
Da'Mari Scott,8,2,1,5,0
