Player,Pos,G,GS,Rec,Yds,TD,Lng,Fmb
Garrett Bradbury,C,16,16,1,-4,0,-4,0
Jacoby Brissett,QB,15,15,1,2,0,2,7
Ventell Bryant,wr,12,0,1,15,1,15,0
Kevin Byard,fs,16,16,1,11,0,11,0
Austin Carr,wr,6,3,1,9,0,9,0
Sean Culkin,te,4,2,1,12,0,12,0
Andy Dalton,QB,13,13,1,-4,0,-4,8
Darrell Daniels,te,11,0,1,4,0,4,0
Cody Davis,fs,16,0,1,7,0,7,0
Rashard Davis,wr,1,0,1,16,0,16,0
Dion Dawkins,lt,16,16,1,1,1,1,0
Michael Deiter,G,16,15,1,0,0,0,0
Jeff Driskel,qb,3,3,1,6,0,6,1
Quincy Enunwa,wr,1,1,1,-4,0,8,1
Zach Gentry,wr,4,0,1,4,0,4,0
Cyril Grayson,wr,2,0,1,3,0,3,0
Xavier Grimble,te,3,1,1,3,0,3,0
Dwayne Harris,wr,3,0,1,7,0,7,0
Chris Herndon,te,1,0,1,7,0,7,0
Krishawn Hogan,wr,8,0,1,4,0,4,0
Jakob Johnson,fb,4,3,1,5,0,5,0
Charles Jones,te,4,0,1,5,0,5,0
Taiwan Jones,rb,11,0,1,9,0,9,0
Dennis Kelly,t,15,4,1,1,1,1,0
Ben Koyack,te,11,6,1,9,0,9,0
Chris Manhertz,te,15,6,1,11,0,11,0
Codey McElroy,te,1,0,1,30,0,30,0
Kaleb McGary,T,16,16,1,-3,0,-3,0
Qadree Ollison,rb,8,0,1,7,0,7,1
Ricky Ortiz,fb,1,0,1,8,0,8,0
Paul Perkins,rb,4,0,1,9,0,9,0
Senorise Perry,rb,11,0,1,1,0,1,0
David Quessenberry,g,4,0,1,1,1,1,0
Elandon Roberts,fs,16,3,1,38,1,38,0
Ty Sambrailo,lt,13,0,1,35,1,35,0
Jason Sanders,K,16,0,1,1,1,1,0
Bo Scarbrough,rb,6,5,1,5,0,5,1
Dalton Schultz,te,16,0,1,6,0,6,0
Jaleel Scott,wr,3,0,1,6,0,6,0
Nick Scott,fs,16,0,1,23,0,23,0
Darrius Shepherd,wr,6,0,1,1,0,1,1
Jeff Smith,wr,1,0,1,12,0,12,0
Keith Smith,fb,16,5,1,13,0,13,0
Tyrone Swoopes,te,5,2,1,5,0,5,0
Wyatt Teller,G,15,9,1,-5,0,-5,0
De'Anthony Thomas,rb,14,0,1,6,0,6,3
Jordan Thomas,te,5,2,1,8,0,8,0
Eric Tomlinson,te,8,3,1,1,0,1,0
John Ursua,te,3,0,1,11,0,11,0
Vita Vea,dt,16,16,1,1,1,1,0
Dwayne Washington,rb,16,0,1,6,0,6,0
Deshaun Watson,QB,15,15,1,6,1,6,10
Kerrith Whyte,rb,6,0,1,9,0,9,0
Christian Wilkins,DT,16,14,1,1,1,1,1
